,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
61420,user_745,The bag has two handles,3CFJTT4SXVJZE57UUBL7BIYQI9FI7L,126.0,5afe31025e8574ea8d6e12c39b2d5023,bag,ShapeNet,a333a7047900101ffc854afc3ce25be,bag,PartNet,False,bag/PartNet/a333a7047900101ffc854afc3ce25be,bag/ShapeNet/5afe31025e8574ea8d6e12c39b2d5023,True,bag,bag,0,"['the', 'bag', 'has', 'two', 'handles']",5,the bag has two handles,train,train,train,train,"[1, 10, 1909, 24, 17, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61424,user_1796,There are two straps.,3KRVW3HTZPE7TMHD3THAY213MUFMSR,79.0,add50bbf543ba7eaeab2bd7322386ffd,bag,PartNet,4e4fcfffec161ecaed13f430b2941481,bag,ShapeNet,False,bag/ShapeNet/4e4fcfffec161ecaed13f430b2941481,bag/PartNet/add50bbf543ba7eaeab2bd7322386ffd,False,bag,bag,0,"['there', 'are', 'two', 'straps']",4,there are two straps,train,train,train,train,"[1, 15, 16, 17, 716, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61427,user_1031,The body is made of a rigid material.,3H7Z272LX90QACJ0B0C13KH3Z4ZLPN,169.0,6ca911066e1f7d32749d52b3e269018,bag,PartNet,5f3af8ff93de34c9e7922afdefd88b6e,bag,ShapeNet,False,bag/ShapeNet/5f3af8ff93de34c9e7922afdefd88b6e,bag/PartNet/6ca911066e1f7d32749d52b3e269018,False,bag,bag,0,"['the', 'body', 'is', 'made', 'of', 'a', 'rigid', 'material']",8,the body is made of a rigid material,test,train,test,train,"[1, 10, 45, 7, 916, 38, 26, 1963, 1768, 2, 0, 0, 0, 0, 0, 0, 0, 0]",body
61428,user_1298,There is a handle,3KAKFY4PGWVHDM67SZIHY1MAD4II3Z,48.0,6ca911066e1f7d32749d52b3e269018,bag,PartNet,5f3af8ff93de34c9e7922afdefd88b6e,bag,ShapeNet,False,bag/ShapeNet/5f3af8ff93de34c9e7922afdefd88b6e,bag/PartNet/6ca911066e1f7d32749d52b3e269018,False,bag,bag,0,"['there', 'is', 'a', 'handle']",4,there is a handle,test,train,test,train,"[1, 15, 7, 26, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61430,user_1298,The handle is smaller,3BV8HQ2ZZYU14NARZDO2O6ABANKA6Y,109.0,d9fb0b4c7b6f84d0abc49cae1a831a9e,bag,PartNet,c5c0f63f94ddf4c258d149fbd24761c4,bag,ShapeNet,False,bag/ShapeNet/c5c0f63f94ddf4c258d149fbd24761c4,bag/PartNet/d9fb0b4c7b6f84d0abc49cae1a831a9e,False,bag,bag,0,"['the', 'handle', 'is', 'small', '-er']",5,the handle is small -er,train,train,train,train,"[1, 10, 29, 7, 111, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61435,user_156,It has a handle.,37QW5D2ZRIFS8XF99S7RTK082QG8SH,54.0,a405a7ca363c7c41bbda4bd2b976d8f7,bag,PartNet,8bc53bae41a8105f5c7506815f553527,bag,ShapeNet,False,bag/ShapeNet/8bc53bae41a8105f5c7506815f553527,bag/PartNet/a405a7ca363c7c41bbda4bd2b976d8f7,False,bag,bag,0,"['it', 'has', 'a', 'handle']",4,it has a handle,train,train,train,train,"[1, 23, 24, 26, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61436,user_649,It has a single handle.,3Q5C1WP23OU9RVXDYBL4LZ38AY215K,104.0,a405a7ca363c7c41bbda4bd2b976d8f7,bag,PartNet,8bc53bae41a8105f5c7506815f553527,bag,ShapeNet,False,bag/ShapeNet/8bc53bae41a8105f5c7506815f553527,bag/PartNet/a405a7ca363c7c41bbda4bd2b976d8f7,False,bag,bag,0,"['it', 'has', 'a', 'single', 'handle']",5,it has a single handle,train,train,train,train,"[1, 23, 24, 26, 86, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61437,user_2044,It has a handle,36NEMU28XH6003YMNYRBVR4OS7JMWE,86.0,a405a7ca363c7c41bbda4bd2b976d8f7,bag,PartNet,8bc53bae41a8105f5c7506815f553527,bag,ShapeNet,False,bag/ShapeNet/8bc53bae41a8105f5c7506815f553527,bag/PartNet/a405a7ca363c7c41bbda4bd2b976d8f7,False,bag,bag,0,"['it', 'has', 'a', 'handle']",4,it has a handle,train,train,train,train,"[1, 23, 24, 26, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61447,user_786,It has a strap,3Z7VU45IP0A7Y9H25ZSKA3A3BX0Z1F,102.0,1b84dededd445058e44a5473032f38f,bag,ShapeNet,f872a64810c123a47abde6405e4d8323,bag,ShapeNet,False,bag/ShapeNet/f872a64810c123a47abde6405e4d8323,bag/ShapeNet/1b84dededd445058e44a5473032f38f,False,bag,bag,0,"['it', 'has', 'a', 'strap']",4,it has a strap,train,train,train,train,"[1, 23, 24, 26, 628, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61449,user_2048,it has a shoulder strap,38JBBYETQQ3QFDNPWUX9NRGOZB34ET,54.0,1b84dededd445058e44a5473032f38f,bag,ShapeNet,f872a64810c123a47abde6405e4d8323,bag,ShapeNet,False,bag/ShapeNet/f872a64810c123a47abde6405e4d8323,bag/ShapeNet/1b84dededd445058e44a5473032f38f,False,bag,bag,0,"['it', 'has', 'a', 'shoulder', 'strap']",5,it has a shoulder strap,train,train,train,train,"[1, 23, 24, 26, 1767, 628, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61450,user_156,It has three handles.,3P4RDNWND7ZSY08WVKA4E83Z94UJI8,35.0,add50bbf543ba7eaeab2bd7322386ffd,bag,PartNet,22065bf26a7da50a5c4dc8ac281ba59d,bag,ShapeNet,False,bag/ShapeNet/22065bf26a7da50a5c4dc8ac281ba59d,bag/PartNet/add50bbf543ba7eaeab2bd7322386ffd,False,bag,bag,0,"['it', 'has', 'three', 'handles']",4,it has three handles,train,train,train,train,"[1, 23, 24, 80, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61452,user_2002,The body is longer,33C7UALJVNRSEDGFW9S7XJDZCPU18F,50.0,add50bbf543ba7eaeab2bd7322386ffd,bag,PartNet,22065bf26a7da50a5c4dc8ac281ba59d,bag,ShapeNet,False,bag/ShapeNet/22065bf26a7da50a5c4dc8ac281ba59d,bag/PartNet/add50bbf543ba7eaeab2bd7322386ffd,False,bag,bag,0,"['the', 'body', 'is', 'long', '-er']",5,the body is long -er,train,train,train,train,"[1, 10, 45, 7, 32, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
61456,user_203,The handles are attached to the top.,3RJSC4XJ12N9K6CV2SH47UKY57A501,113.0,71ead7f072106c63ed13f430b2941481,bag,ShapeNet,6187bd900c3bc002ed13f430b2941481,bag,ShapeNet,False,bag/ShapeNet/6187bd900c3bc002ed13f430b2941481,bag/ShapeNet/71ead7f072106c63ed13f430b2941481,False,bag,bag,0,"['the', 'handles', 'are', 'attached', 'to', 'the', 'top']",7,the handles are attached to the top,train,train,train,train,"[1, 10, 18, 16, 115, 58, 10, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61460,user_1298,It has no handles,33C7UALJVNRSEDGFW9S7XJDZCOA18T,48.0,93ca5243aa73b5de81157c9325bb0e45,bag,ShapeNet,1614bc965545308e5de21284bb515a83,bag,PartNet,False,bag/PartNet/1614bc965545308e5de21284bb515a83,bag/ShapeNet/93ca5243aa73b5de81157c9325bb0e45,False,bag,bag,0,"['it', 'has', 'no', 'handles']",4,it has no handles,train,train,train,train,"[1, 23, 24, 123, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61464,user_1706,It has no handles; it is a clutch,379J5II41Q9MDLUA2MWQ98IZLYJELJ,104.0,d7dff9ecaf5f063cb1eb0742a46d174e,bag,PartNet,d495ae2cd034f066abc49cae1a831a9e,bag,PartNet,False,bag/PartNet/d495ae2cd034f066abc49cae1a831a9e,bag/PartNet/d7dff9ecaf5f063cb1eb0742a46d174e,False,bag,bag,0,"['it', 'has', 'no', 'handles', 'it', 'is', 'a', 'clutch']",8,it has no handles it is a clutch,train,train,train,train,"[1, 23, 24, 123, 18, 23, 7, 26, 3331, 2, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61469,user_677,The target has one strap.,38JBBYETQQ3QFDNPWUX9NRGOZBU4EK,63.0,c3546b0830a79ea64be35abb02d18d44,bag,PartNet,10a885f5971d9d4ce858db1dc3499392,bag,ShapeNet,False,bag/ShapeNet/10a885f5971d9d4ce858db1dc3499392,bag/PartNet/c3546b0830a79ea64be35abb02d18d44,True,bag,bag,0,"['the', 'target', 'has', 'one', 'strap']",5,the target has one strap,train,train,train,train,"[1, 10, 11, 24, 19, 628, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61471,user_12,The bag body has rivets and metal ring ornaments.,3TDXMTX3CDNGA5TPB1GF54YUNVFI60,94.0,d3bd250ca3cb8e29976855a35549333,bag,ShapeNet,2ca6df7a5377825cfee773c7de26c274,bag,ShapeNet,False,bag/ShapeNet/2ca6df7a5377825cfee773c7de26c274,bag/ShapeNet/d3bd250ca3cb8e29976855a35549333,False,bag,bag,0,"['the', 'bag', 'body', 'has', 'rivets', 'and', 'metal', 'ring', 'ornaments']",9,the bag body has rivets and metal ring ornaments,val,train,val,train,"[1, 10, 1909, 45, 24, 1405, 47, 1206, 557, 2077, 2, 0, 0, 0, 0, 0, 0, 0]",body
61473,user_505,Target has higher handles,3BXQMRHWK1RN8Z9HSYCAD3JR7RBUMQ,45.0,d3bd250ca3cb8e29976855a35549333,bag,ShapeNet,2ca6df7a5377825cfee773c7de26c274,bag,ShapeNet,False,bag/ShapeNet/2ca6df7a5377825cfee773c7de26c274,bag/ShapeNet/d3bd250ca3cb8e29976855a35549333,False,bag,bag,0,"['target', 'has', 'high', '-er', 'handles']",5,target has high -er handles,val,train,val,train,"[1, 11, 24, 49, 9, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61474,user_786,It has two handles instead of one,3XUHV3NRVMRKV6IR00OPDMJFRO15HS,139.0,88d375bc79ef32532e50abc7a1305908,bag,ShapeNet,6881468dd51c214922022e93ae2b2b5b,bag,ShapeNet,False,bag/ShapeNet/6881468dd51c214922022e93ae2b2b5b,bag/ShapeNet/88d375bc79ef32532e50abc7a1305908,True,bag,bag,0,"['it', 'has', 'two', 'handles', 'instead', 'of', 'one']",7,it has two handles instead of one,train,train,train,train,"[1, 23, 24, 17, 18, 97, 38, 19, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61475,user_1604,It has two handles.,336KAV9KYSLEI4PTSHQF1FB6XBMY2K,75.0,88d375bc79ef32532e50abc7a1305908,bag,ShapeNet,6881468dd51c214922022e93ae2b2b5b,bag,ShapeNet,False,bag/ShapeNet/6881468dd51c214922022e93ae2b2b5b,bag/ShapeNet/88d375bc79ef32532e50abc7a1305908,True,bag,bag,0,"['it', 'has', 'two', 'handles']",4,it has two handles,train,train,train,train,"[1, 23, 24, 17, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61476,user_1711,two handles,340UGXU9D0U6YM3Q6QD10Z24YJDVUW,29.0,88d375bc79ef32532e50abc7a1305908,bag,ShapeNet,6881468dd51c214922022e93ae2b2b5b,bag,ShapeNet,False,bag/ShapeNet/6881468dd51c214922022e93ae2b2b5b,bag/ShapeNet/88d375bc79ef32532e50abc7a1305908,True,bag,bag,0,"['two', 'handles']",2,two handles,train,train,train,train,"[1, 17, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61478,user_899,The target bag only has one handle.,3GU1KF0O4KUEX3XOKNN7PHLYNBRPBC,36.0,f5800755a78fc83957be02cb1dc1e62,bag,ShapeNet,11d831e89c65adeddeb12bc39b9090ab,bag,PartNet,False,bag/PartNet/11d831e89c65adeddeb12bc39b9090ab,bag/ShapeNet/f5800755a78fc83957be02cb1dc1e62,False,bag,bag,0,"['the', 'target', 'bag', 'only', 'has', 'one', 'handle']",7,the target bag only has one handle,train,train,train,train,"[1, 10, 11, 1909, 133, 24, 19, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
61479,user_1124,Target has one strap,336KAV9KYSLEI4PTSHQF1FB6XAW2YW,155.0,f5800755a78fc83957be02cb1dc1e62,bag,ShapeNet,11d831e89c65adeddeb12bc39b9090ab,bag,PartNet,False,bag/PartNet/11d831e89c65adeddeb12bc39b9090ab,bag/ShapeNet/f5800755a78fc83957be02cb1dc1e62,False,bag,bag,0,"['target', 'has', 'one', 'strap']",4,target has one strap,train,train,train,train,"[1, 11, 24, 19, 628, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",strap
