,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
16195,user_2154,The target's barrel is not circular and is more simple,3LJ7UR74RJ6U9J02PT0SDEAXDLB4NP,84.0,f6fde7ed3205f66bc440ec33c5d16292,pistol,ShapeNet,52a1ca1d9bd900ba3ffeeaac0d1e84d4,pistol,ShapeNet,False,pistol/ShapeNet/52a1ca1d9bd900ba3ffeeaac0d1e84d4,pistol/ShapeNet/f6fde7ed3205f66bc440ec33c5d16292,False,pistol,pistol,0,"['the', 'target', ""'s"", 'barrel', 'is', 'not', 'circular', 'and', 'is', 'more', 'simple']",11,the target 's barrel is not circular and is more simple,train,train,train,train,"[1, 10, 11, 12, 1704, 7, 40, 102, 47, 7, 34, 421, 2, 0, 0, 0, 0, 0]",barrel
16198,user_156,It has a foreward grip.,3TVSS0C0E3T4DYO6WVSNH5ZGMYMWTY,32.0,b4341b7259f66d529f433921788191f3,pistol,ShapeNet,abaf150fbbcfa58e9f433921788191f3,pistol,ShapeNet,False,pistol/ShapeNet/abaf150fbbcfa58e9f433921788191f3,pistol/ShapeNet/b4341b7259f66d529f433921788191f3,True,pistol,pistol,0,"['it', 'has', 'a', 'foreward', 'grip']",5,it has a foreward grip,train,train,train,train,"[1, 23, 24, 26, 1924, 1400, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",grip
16199,user_786,Its cylindrical barrel extends out from the front of the gun,3A4TN5196MB5URR6FABXRSPPJNKCH4,123.0,b4341b7259f66d529f433921788191f3,pistol,ShapeNet,abaf150fbbcfa58e9f433921788191f3,pistol,ShapeNet,False,pistol/ShapeNet/abaf150fbbcfa58e9f433921788191f3,pistol/ShapeNet/b4341b7259f66d529f433921788191f3,True,pistol,pistol,0,"['its', 'cylindrical', 'barrel', 'extends', 'out', 'from', 'the', 'front', 'of', 'the', 'gun']",11,its cylindrical barrel extends out from the front of the gun,train,train,train,train,"[1, 5, 176, 1704, 77, 89, 113, 10, 37, 38, 10, 1390, 2, 0, 0, 0, 0, 0]",barrel
16201,user_1712,the front grip has no finger grooves,36V4Q8R5ZMTVG620BPS532M24OGMQO,43.0,2f50338488d6254c6460d209041b501,pistol,ShapeNet,cc014e78b5cd9e7ed957eaf7f4edb205,pistol,ShapeNet,False,pistol/ShapeNet/cc014e78b5cd9e7ed957eaf7f4edb205,pistol/ShapeNet/2f50338488d6254c6460d209041b501,False,pistol,pistol,0,"['the', 'front', 'grip', 'has', 'no', 'finger', 'grooves']",7,the front grip has no finger grooves,train,train,train,train,"[1, 10, 37, 1400, 24, 123, 1382, 1426, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",grip
16203,user_920,The target has an exposed barrel.,308Q0PEVBA63SOVN98JRPEPWDFNI9D,69.0,2d582f697e4522e6e1f2a1daf140ac9f,pistol,ShapeNet,1e9955ac94f8facf9e272653667f1619,pistol,ShapeNet,False,pistol/ShapeNet/1e9955ac94f8facf9e272653667f1619,pistol/ShapeNet/2d582f697e4522e6e1f2a1daf140ac9f,True,pistol,pistol,0,"['the', 'target', 'has', 'an', 'exposed', 'barrel']",6,the target has an exposed barrel,train,train,train,train,"[1, 10, 11, 24, 72, 361, 1704, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",barrel
16204,user_1143,The target has a square trigger guard,3ZR9AIQJUD2RON8VONYU22EK5TT045,36.0,a40ea0c5f83700cec0f919a9a9f1e7fc,pistol,ShapeNet,7bd66b182aad44e79a2ee232a197081e,pistol,ShapeNet,False,pistol/ShapeNet/7bd66b182aad44e79a2ee232a197081e,pistol/ShapeNet/a40ea0c5f83700cec0f919a9a9f1e7fc,True,pistol,pistol,0,"['the', 'target', 'has', 'a', 'square', 'trigger', 'guard']",7,the target has a square trigger guard,train,train,train,train,"[1, 10, 11, 24, 26, 50, 1582, 1389, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",trigger
16205,user_1347,The barrel has a part underneath that spans half its length,3JZQSN0I3S3YX7G5M6JGEYYR104FGO,67.0,a40ea0c5f83700cec0f919a9a9f1e7fc,pistol,ShapeNet,7bd66b182aad44e79a2ee232a197081e,pistol,ShapeNet,False,pistol/ShapeNet/7bd66b182aad44e79a2ee232a197081e,pistol/ShapeNet/a40ea0c5f83700cec0f919a9a9f1e7fc,True,pistol,pistol,0,"['the', 'barrel', 'has', 'a', 'part', 'underneath', 'that', 'spans', 'half', 'its', 'length']",11,the barrel has a part underneath that spans half its length,train,train,train,train,"[1, 10, 1704, 24, 26, 311, 263, 172, 1250, 158, 5, 155, 2, 0, 0, 0, 0, 0]",barrel
16206,user_829,The gun has a shorter barrel,3IKZ72A5B6947ZXR9AWB4I7O2B9FND,135.0,2f2ee52394a53c74bdd651b07eb299e,pistol,ShapeNet,b86cc2e83384030d91e284193311f752,pistol,ShapeNet,False,pistol/ShapeNet/b86cc2e83384030d91e284193311f752,pistol/ShapeNet/2f2ee52394a53c74bdd651b07eb299e,False,pistol,pistol,0,"['the', 'gun', 'has', 'a', 'short', '-er', 'barrel']",7,the gun has a short -er barrel,train,train,train,train,"[1, 10, 1390, 24, 26, 8, 9, 1704, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",barrel
16207,user_1489,The grip has indentations for fingers,37U1UTWH9XFG7IFWU37M3AVCG4JR8U,164.0,2f2ee52394a53c74bdd651b07eb299e,pistol,ShapeNet,b86cc2e83384030d91e284193311f752,pistol,ShapeNet,False,pistol/ShapeNet/b86cc2e83384030d91e284193311f752,pistol/ShapeNet/2f2ee52394a53c74bdd651b07eb299e,False,pistol,pistol,0,"['the', 'grip', 'has', 'indentations', 'for', 'fingers']",6,the grip has indentations for fingers,train,train,train,train,"[1, 10, 1400, 24, 1065, 259, 1415, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",grip
16208,user_203,The trigger is taller.,35USIKEBNT98O64G8HT7ACUB9DB6N8,170.0,7681e8a8ba049dcec16b50401ee47ac,pistol,ShapeNet,898424eaa40e821c2bf47341dbd96eb,pistol,ShapeNet,False,pistol/ShapeNet/898424eaa40e821c2bf47341dbd96eb,pistol/ShapeNet/7681e8a8ba049dcec16b50401ee47ac,False,pistol,pistol,0,"['the', 'trigger', 'is', 'tall', '-er']",5,the trigger is tall -er,train,train,train,train,"[1, 10, 1582, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",trigger
16210,user_1651,It has a larger trigger guard,3K3R2QNK8DW81FQN3P858HD77AI9UK,176.0,db78bea32b311c1f873aebd175ac6f11,pistol,ShapeNet,d5be7a5fc72f11498ce08763cba10343,pistol,ShapeNet,False,pistol/ShapeNet/d5be7a5fc72f11498ce08763cba10343,pistol/ShapeNet/db78bea32b311c1f873aebd175ac6f11,True,pistol,pistol,0,"['it', 'has', 'a', 'large', '-er', 'trigger', 'guard']",7,it has a large -er trigger guard,train,train,train,train,"[1, 23, 24, 26, 94, 9, 1582, 1389, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",trigger
16212,user_920,The top of the target's barrel is rounded.,3WT783CTPDAV3EOKFI115HMROA6BCE,85.0,edec08542b9312b712b38b1d99376c0b,pistol,ShapeNet,732dedcf453bcf0615ea1d7806d654ad,pistol,ShapeNet,False,pistol/ShapeNet/732dedcf453bcf0615ea1d7806d654ad,pistol/ShapeNet/edec08542b9312b712b38b1d99376c0b,False,pistol,pistol,0,"['the', 'top', 'of', 'the', 'target', ""'s"", 'barrel', 'is', 'rounded']",9,the top of the target 's barrel is rounded,train,train,train,train,"[1, 10, 99, 38, 10, 11, 12, 1704, 7, 48, 2, 0, 0, 0, 0, 0, 0, 0]",barrel
16219,user_829,The gun has a smooth square barrel,3SKRO2GZ73KC9EIG5YPANOMQ76M1KU,122.0,1e83ef6ed5d0b78b7efb854782e23566,pistol,ShapeNet,e9e6426605eb6d5952d52701459b1f0,pistol,ShapeNet,False,pistol/ShapeNet/e9e6426605eb6d5952d52701459b1f0,pistol/ShapeNet/1e83ef6ed5d0b78b7efb854782e23566,False,pistol,pistol,0,"['the', 'gun', 'has', 'a', 'smooth', 'square', 'barrel']",7,the gun has a smooth square barrel,train,train,train,train,"[1, 10, 1390, 24, 26, 379, 50, 1704, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",barrel
16220,user_203,The trigger guard is taller.,31EUONYN2XWBLHJTA41S1TAFGGAOVZ,77.0,d965eb9091d180245f91354f947d2313,pistol,ShapeNet,4a5ed50fe28a7380fef144202cb2b935,pistol,ShapeNet,False,pistol/ShapeNet/4a5ed50fe28a7380fef144202cb2b935,pistol/ShapeNet/d965eb9091d180245f91354f947d2313,False,pistol,pistol,0,"['the', 'trigger', 'guard', 'is', 'tall', '-er']",6,the trigger guard is tall -er,val,train,val,train,"[1, 10, 1582, 1389, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",trigger
