,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
2564,user_1633,The target does not have as wide of a brim.,3WS1NTTKE051M35K84UDT6BBUHOF0Q,37.0,5eb9ab53213f5fff4e09ebaf49b0cb2f,cap,ShapeNet,f3e5ec75a719c3efb5f4a9188bfa0ef6,cap,PartNet,False,cap/PartNet/f3e5ec75a719c3efb5f4a9188bfa0ef6,cap/ShapeNet/5eb9ab53213f5fff4e09ebaf49b0cb2f,False,hat,cap,0,"['the', 'target', 'does', 'not', 'have', 'as', 'wide', 'of', 'a', 'brim']",10,the target does not have as wide of a brim,train,train,train,train,"[1, 10, 11, 39, 40, 84, 52, 83, 38, 26, 601, 2, 0, 0, 0, 0, 0, 0]",brim
2565,user_1644,It is a top hat.,3WR9XG3T65456Y8F9MJ3HHO7D5P47V,24.0,5eb9ab53213f5fff4e09ebaf49b0cb2f,cap,ShapeNet,f3e5ec75a719c3efb5f4a9188bfa0ef6,cap,PartNet,False,cap/PartNet/f3e5ec75a719c3efb5f4a9188bfa0ef6,cap/ShapeNet/5eb9ab53213f5fff4e09ebaf49b0cb2f,False,hat,cap,0,"['it', 'is', 'a', 'top', 'hat']",5,it is a top hat,train,train,train,train,"[1, 23, 7, 26, 99, 602, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2566,user_90,The bill is flatter,32AT8R96GN2Q6UMMCV8WPCIXZWMSUP,87.0,40f0c6599f0be25fce01c07526cf2aa4,cap,ShapeNet,3dec0d851cba045fbf444790f25ea3db,cap,ShapeNet,False,cap/ShapeNet/3dec0d851cba045fbf444790f25ea3db,cap/ShapeNet/40f0c6599f0be25fce01c07526cf2aa4,True,cap,cap,0,"['the', 'bill', 'is', 'flat', '-er']",5,the bill is flat -er,train,train,train,train,"[1, 10, 603, 7, 129, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2569,user_786,Its crown's diameter is less,3TDXMTX3CDNGA5TPB1GF54YUNDA6IJ,39.0,9634ac7cd209cc7e230a4d129580843a,cap,PartNet,463013adc207ca16eb5d382c7eb13b28,cap,PartNet,False,cap/PartNet/463013adc207ca16eb5d382c7eb13b28,cap/PartNet/9634ac7cd209cc7e230a4d129580843a,True,hat,hat,0,"['its', 'crown', ""'s"", 'diameter', 'is', 'less']",6,its crown 's diameter is less,train,train,train,train,"[1, 5, 606, 12, 268, 7, 229, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2570,user_1633,"The target has a brim, not a visor.",3C2NJ6JBKCAK65LFLFH4KZDZT6U2N4,29.0,9634ac7cd209cc7e230a4d129580843a,cap,PartNet,463013adc207ca16eb5d382c7eb13b28,cap,PartNet,False,cap/PartNet/463013adc207ca16eb5d382c7eb13b28,cap/PartNet/9634ac7cd209cc7e230a4d129580843a,True,hat,hat,0,"['the', 'target', 'has', 'a', 'brim', 'not', 'a', 'visor']",8,the target has a brim not a visor,train,train,train,train,"[1, 10, 11, 24, 26, 601, 40, 26, 605, 2, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2573,user_1644,The crown is shorter.,35H6S234SCT4YHYA4HXLGVUPIQX650,36.0,c49d544f3743bc08d23279d7571c8868,cap,PartNet,77f97b18d27a8905afd2bc3942374579,cap,PartNet,False,cap/PartNet/77f97b18d27a8905afd2bc3942374579,cap/PartNet/c49d544f3743bc08d23279d7571c8868,True,hat,hat,0,"['the', 'crown', 'is', 'short', '-er']",5,the crown is short -er,train,train,train,train,"[1, 10, 606, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2574,user_2105,target has shorter crown,3BQU611VFRDAHN2K5EDECLQTUOF99Y,54.0,c49d544f3743bc08d23279d7571c8868,cap,PartNet,77f97b18d27a8905afd2bc3942374579,cap,PartNet,False,cap/PartNet/77f97b18d27a8905afd2bc3942374579,cap/PartNet/c49d544f3743bc08d23279d7571c8868,True,hat,hat,0,"['target', 'has', 'short', '-er', 'crown']",5,target has short -er crown,train,train,train,train,"[1, 11, 24, 8, 9, 606, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2575,user_786,Its crown diameter is larger,3LOTDFNYA9SUUT651BNY01KFVNAWFI,75.0,484d95c416ee10a74ce8c4cc4cdde9b4,cap,PartNet,87c240c20a772f51e6e812c94ac516eb,cap,PartNet,False,cap/PartNet/87c240c20a772f51e6e812c94ac516eb,cap/PartNet/484d95c416ee10a74ce8c4cc4cdde9b4,True,hat,hat,0,"['its', 'crown', 'diameter', 'is', 'large', '-er']",6,its crown diameter is large -er,train,train,train,train,"[1, 5, 606, 268, 7, 94, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2576,user_1644,The crown is taller.,32RIADZISUXRPWS7XPHEC8K30JYS42,46.0,484d95c416ee10a74ce8c4cc4cdde9b4,cap,PartNet,87c240c20a772f51e6e812c94ac516eb,cap,PartNet,False,cap/PartNet/87c240c20a772f51e6e812c94ac516eb,cap/PartNet/484d95c416ee10a74ce8c4cc4cdde9b4,True,hat,hat,0,"['the', 'crown', 'is', 'tall', '-er']",5,the crown is tall -er,train,train,train,train,"[1, 10, 606, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2577,user_2105,target has smaller brim depth,3ITXP059PYCHSEBS0W4IIA9MIHFSJM,35.0,484d95c416ee10a74ce8c4cc4cdde9b4,cap,PartNet,87c240c20a772f51e6e812c94ac516eb,cap,PartNet,False,cap/PartNet/87c240c20a772f51e6e812c94ac516eb,cap/PartNet/484d95c416ee10a74ce8c4cc4cdde9b4,True,hat,hat,0,"['target', 'has', 'small', '-er', 'brim', 'depth']",6,target has small -er brim depth,train,train,train,train,"[1, 11, 24, 111, 9, 601, 607, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2579,user_1644,It has a brim.,386CSBG1O1FTR3H8O9LOE6PGEMJQ6W,54.0,5dbe1341bec2f70cf0d11ae402ef940e,cap,PartNet,f84abb697315dd7784c54dff812f6abb,cap,PartNet,False,cap/PartNet/f84abb697315dd7784c54dff812f6abb,cap/PartNet/5dbe1341bec2f70cf0d11ae402ef940e,True,hat,hat,0,"['it', 'has', 'a', 'brim']",4,it has a brim,train,train,train,train,"[1, 23, 24, 26, 601, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2580,user_2105,target looks like top hat,3R8YZBNQ9JBCV3VD7JQGKKPC9YUQ7O,30.0,5dbe1341bec2f70cf0d11ae402ef940e,cap,PartNet,f84abb697315dd7784c54dff812f6abb,cap,PartNet,False,cap/PartNet/f84abb697315dd7784c54dff812f6abb,cap/PartNet/5dbe1341bec2f70cf0d11ae402ef940e,True,hat,hat,0,"['target', 'looks', 'like', 'top', 'hat']",5,target looks like top hat,train,train,train,train,"[1, 11, 33, 35, 99, 602, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2581,user_1143,The target has around brim around the bottom,3FE7TXL1LKG592Y7179LOT84YHIQ2G,64.0,889204300c03ae7dc8687ff9b0b4e4ac,cap,PartNet,b0bdecad995dca22f316a08d4796320f,cap,PartNet,False,cap/PartNet/b0bdecad995dca22f316a08d4796320f,cap/PartNet/889204300c03ae7dc8687ff9b0b4e4ac,True,hat,hat,0,"['the', 'target', 'has', 'around', 'brim', 'around', 'the', 'bottom']",8,the target has around brim around the bottom,test,train,test,train,"[1, 10, 11, 24, 239, 601, 239, 10, 76, 2, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2582,user_1644,The crown is shorter.,39O5D9O87VLQ0JK70PMVNYOF0GHC38,30.0,889204300c03ae7dc8687ff9b0b4e4ac,cap,PartNet,b0bdecad995dca22f316a08d4796320f,cap,PartNet,False,cap/PartNet/b0bdecad995dca22f316a08d4796320f,cap/PartNet/889204300c03ae7dc8687ff9b0b4e4ac,True,hat,hat,0,"['the', 'crown', 'is', 'short', '-er']",5,the crown is short -er,test,train,test,train,"[1, 10, 606, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2584,user_786,Its crown is a slightly larger hemisphere,3P529IW9K0EEJZU6XXGWRQ3ZXFZLF5,79.0,c721e05c676faf20a9aa61915b4add2d,cap,PartNet,b08d714d0617f5d5305be49cf697a665,cap,PartNet,False,cap/PartNet/b08d714d0617f5d5305be49cf697a665,cap/PartNet/c721e05c676faf20a9aa61915b4add2d,True,hat,hat,0,"['its', 'crown', 'is', 'a', 'slightly', 'large', '-er', 'hemisphere']",8,its crown is a slightly large -er hemisphere,val,train,val,train,"[1, 5, 606, 7, 26, 174, 94, 9, 689, 2, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2585,user_1529,The brim goes straight across in the front.,3UXUOQ9OKGQK8NOWINTUUKA75GCA75,65.0,c721e05c676faf20a9aa61915b4add2d,cap,PartNet,b08d714d0617f5d5305be49cf697a665,cap,PartNet,False,cap/PartNet/b08d714d0617f5d5305be49cf697a665,cap/PartNet/c721e05c676faf20a9aa61915b4add2d,True,hat,hat,0,"['the', 'brim', 'goes', 'straight', 'across', 'in', 'the', 'front']",8,the brim goes straight across in the front,val,train,val,train,"[1, 10, 601, 394, 114, 702, 90, 10, 37, 2, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2586,user_2105,target has longer length crown,3JNQLM5FT6FUI5IU921P779AOCLL2E,39.0,c721e05c676faf20a9aa61915b4add2d,cap,PartNet,b08d714d0617f5d5305be49cf697a665,cap,PartNet,False,cap/PartNet/b08d714d0617f5d5305be49cf697a665,cap/PartNet/c721e05c676faf20a9aa61915b4add2d,True,hat,hat,0,"['target', 'has', 'long', '-er', 'length', 'crown']",6,target has long -er length crown,val,train,val,train,"[1, 11, 24, 32, 9, 155, 606, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2588,user_1644,The crown is pointed.,3DY46V3X3RB8FDYWZYNGOPGPMVM55J,18.0,a444fff8c769de616a10eb60523df1e9,cap,ShapeNet,60153b9c1dc500a93d8dd242efdcdeb,cap,PartNet,False,cap/PartNet/60153b9c1dc500a93d8dd242efdcdeb,cap/ShapeNet/a444fff8c769de616a10eb60523df1e9,False,hat,cap,0,"['the', 'crown', 'is', 'pointed']",4,the crown is pointed,train,train,train,train,"[1, 10, 606, 7, 387, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2589,user_2105,target has triangle shaped crown,3IO1LGZLKBQNLZHC2F4OSF4GKHQ86Y,31.0,a444fff8c769de616a10eb60523df1e9,cap,ShapeNet,60153b9c1dc500a93d8dd242efdcdeb,cap,PartNet,False,cap/PartNet/60153b9c1dc500a93d8dd242efdcdeb,cap/ShapeNet/a444fff8c769de616a10eb60523df1e9,False,hat,cap,0,"['target', 'has', 'triangle', 'shaped', 'crown']",5,target has triangle shaped crown,train,train,train,train,"[1, 11, 24, 608, 14, 606, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2590,user_456,The target has an irregular circle on top.,3NC5L260MQFMPKX3APWOJ77TSL2OFP,91.0,26239157c6539065895d3362333efa72,cap,PartNet,d196cee1204df9027bd9558057bfa0b3,cap,PartNet,False,cap/PartNet/d196cee1204df9027bd9558057bfa0b3,cap/PartNet/26239157c6539065895d3362333efa72,True,hat,hat,0,"['the', 'target', 'has', 'an', 'irregular', 'circle', 'on', 'top']",8,the target has an irregular circle on top,train,train,train,train,"[1, 10, 11, 24, 72, 609, 149, 20, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2591,user_786,"Its crown's overall shape is cylindrical, NOT conical",3IO1LGZLKBQNLZHC2F4OSF4GKH668C,62.0,26239157c6539065895d3362333efa72,cap,PartNet,d196cee1204df9027bd9558057bfa0b3,cap,PartNet,False,cap/PartNet/d196cee1204df9027bd9558057bfa0b3,cap/PartNet/26239157c6539065895d3362333efa72,True,hat,hat,0,"['its', 'crown', ""'s"", 'overall', 'shape', 'is', 'cylindrical', 'not', 'conical']",9,its crown 's overall shape is cylindrical not conical,train,train,train,train,"[1, 5, 606, 12, 201, 93, 7, 176, 40, 399, 2, 0, 0, 0, 0, 0, 0, 0]",crown
2592,user_1644,The crown is shorter.,3WOKGM4L739VSGID77D3G0KPMKAO0K,22.0,26239157c6539065895d3362333efa72,cap,PartNet,d196cee1204df9027bd9558057bfa0b3,cap,PartNet,False,cap/PartNet/d196cee1204df9027bd9558057bfa0b3,cap/PartNet/26239157c6539065895d3362333efa72,True,hat,hat,0,"['the', 'crown', 'is', 'short', '-er']",5,the crown is short -er,train,train,train,train,"[1, 10, 606, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2593,user_203,The brim is not circular.,34V1S5K3GUUNZ40M77A2SBZR4NO691,57.0,b0b7e7e0e34b4f79487003545673a337,cap,PartNet,ed352b53b17b6119e762cf5917cef4ef,cap,ShapeNet,False,cap/ShapeNet/ed352b53b17b6119e762cf5917cef4ef,cap/PartNet/b0b7e7e0e34b4f79487003545673a337,True,cap,hat,0,"['the', 'brim', 'is', 'not', 'circular']",5,the brim is not circular,train,train,train,train,"[1, 10, 601, 7, 40, 102, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2599,user_786,"Its crown is cylindrical, NOT conical",3DY46V3X3RB8FDYWZYNGOPGPMW7556,28.0,26ded18f7b1ad4c83a444f07ecb8c124,cap,PartNet,233a6e7c31de58a33d4bab39ff8346fd,cap,PartNet,False,cap/PartNet/233a6e7c31de58a33d4bab39ff8346fd,cap/PartNet/26ded18f7b1ad4c83a444f07ecb8c124,False,hat,hat,0,"['its', 'crown', 'is', 'cylindrical', 'not', 'conical']",6,its crown is cylindrical not conical,train,train,train,train,"[1, 5, 606, 7, 176, 40, 399, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2600,user_1633,The target is flat on top.,3CPLWGV3MQSV6P6E6OWJUMLDZC49N3,19.0,26ded18f7b1ad4c83a444f07ecb8c124,cap,PartNet,233a6e7c31de58a33d4bab39ff8346fd,cap,PartNet,False,cap/PartNet/233a6e7c31de58a33d4bab39ff8346fd,cap/PartNet/26ded18f7b1ad4c83a444f07ecb8c124,False,hat,hat,0,"['the', 'target', 'is', 'flat', 'on', 'top']",6,the target is flat on top,train,train,train,train,"[1, 10, 11, 7, 129, 20, 99, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2601,user_1644,It is a top hat.,3E13VNJ1NPOL3JSS5V4YA87DF27I1A,20.0,26ded18f7b1ad4c83a444f07ecb8c124,cap,PartNet,233a6e7c31de58a33d4bab39ff8346fd,cap,PartNet,False,cap/PartNet/233a6e7c31de58a33d4bab39ff8346fd,cap/PartNet/26ded18f7b1ad4c83a444f07ecb8c124,False,hat,hat,0,"['it', 'is', 'a', 'top', 'hat']",5,it is a top hat,train,train,train,train,"[1, 23, 7, 26, 99, 602, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2602,user_203,The crown is taller.,39GHHAVOMHKYQT9HAV80K7TG40R4J4,62.0,47d8ea8d4f14119048908f59408795,cap,PartNet,715964d98402b5c691f70edfed6ef8d,cap,PartNet,False,cap/PartNet/715964d98402b5c691f70edfed6ef8d,cap/PartNet/47d8ea8d4f14119048908f59408795,True,hat,hat,0,"['the', 'crown', 'is', 'tall', '-er']",5,the crown is tall -er,test,train,test,train,"[1, 10, 606, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2603,user_1644,The crown is taller.,3ZQIG0FLQG9JQQSV1QS2INN1JGRWVX,56.0,47d8ea8d4f14119048908f59408795,cap,PartNet,715964d98402b5c691f70edfed6ef8d,cap,PartNet,False,cap/PartNet/715964d98402b5c691f70edfed6ef8d,cap/PartNet/47d8ea8d4f14119048908f59408795,True,hat,hat,0,"['the', 'crown', 'is', 'tall', '-er']",5,the crown is tall -er,test,train,test,train,"[1, 10, 606, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2604,user_1964,the brim is thinner,339ANSOTR7VN9KEED5AGFN3CO7MIKQ,48.0,47d8ea8d4f14119048908f59408795,cap,PartNet,715964d98402b5c691f70edfed6ef8d,cap,PartNet,False,cap/PartNet/715964d98402b5c691f70edfed6ef8d,cap/PartNet/47d8ea8d4f14119048908f59408795,True,hat,hat,0,"['the', 'brim', 'is', 'thin', '-er']",5,the brim is thin -er,test,train,test,train,"[1, 10, 601, 7, 60, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2607,user_2105,target has taller crown,3570Y55XZRC4XYX0RWB43J577ABYGJ,53.0,b5a6c597fefeaa0598095901ddb7e8e7,cap,PartNet,4c818a2a478b13db1e4e75745130e652,cap,PartNet,False,cap/PartNet/4c818a2a478b13db1e4e75745130e652,cap/PartNet/b5a6c597fefeaa0598095901ddb7e8e7,True,hat,hat,0,"['target', 'has', 'tall', '-er', 'crown']",5,target has tall -er crown,train,train,train,train,"[1, 11, 24, 53, 9, 606, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2608,user_203,The brim edge is not as tall.,3R2UR8A0IC93P6OOAJ2APE70WQ9OXR,80.0,d0919880bdf7eec8fe5dfc44db6ed8eb,cap,PartNet,4bd0b6df02772d8f59c9250a427b57f,cap,ShapeNet,False,cap/ShapeNet/4bd0b6df02772d8f59c9250a427b57f,cap/PartNet/d0919880bdf7eec8fe5dfc44db6ed8eb,True,cap,hat,0,"['the', 'brim', 'edge', 'is', 'not', 'as', 'tall']",7,the brim edge is not as tall,test,train,test,train,"[1, 10, 601, 631, 7, 40, 52, 53, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brim
2609,user_786,Its crown is taller,3YMU66OBIP1IB37BHW7GHJA4HECHGH,65.0,d0919880bdf7eec8fe5dfc44db6ed8eb,cap,PartNet,4bd0b6df02772d8f59c9250a427b57f,cap,ShapeNet,False,cap/ShapeNet/4bd0b6df02772d8f59c9250a427b57f,cap/PartNet/d0919880bdf7eec8fe5dfc44db6ed8eb,True,cap,hat,0,"['its', 'crown', 'is', 'tall', '-er']",5,its crown is tall -er,test,train,test,train,"[1, 5, 606, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2610,user_1644,The crown is taller.,34V1S5K3GUUNZ40M77A2SBZR4MG96U,45.0,d0919880bdf7eec8fe5dfc44db6ed8eb,cap,PartNet,4bd0b6df02772d8f59c9250a427b57f,cap,ShapeNet,False,cap/ShapeNet/4bd0b6df02772d8f59c9250a427b57f,cap/PartNet/d0919880bdf7eec8fe5dfc44db6ed8eb,True,cap,hat,0,"['the', 'crown', 'is', 'tall', '-er']",5,the crown is tall -er,test,train,test,train,"[1, 10, 606, 7, 53, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",crown
2611,user_1143,The target has a wider brim,3Y4W8Q93L1DKHKS4KVNCQZYGC0MDV6,38.0,17507563e90313433f19716eab42752,cap,PartNet,b3ccfa337100028088f5610828331858,cap,PartNet,False,cap/PartNet/b3ccfa337100028088f5610828331858,cap/PartNet/17507563e90313433f19716eab42752,True,hat,hat,0,"['the', 'target', 'has', 'a', 'wide', '-er', 'brim']",7,the target has a wide -er brim,train,train,train,train,"[1, 10, 11, 24, 26, 83, 9, 601, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",brim
