,Unnamed: 0,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords,part_manually,part_llama3
27532,27532,user_607,The target has for legs.,3VNL7UK1XHC22C2B66INDHDGH3UTF1,35.0,e0a2948797cc33b2e19a0cc107ada7cd,lamp,ShapeNet,9c3c8db3c4b29c8e7bcb070cc655f13a,lamp,ShapeNet,False,lamp/ShapeNet/9c3c8db3c4b29c8e7bcb070cc655f13a,lamp/ShapeNet/e0a2948797cc33b2e19a0cc107ada7cd,True,lamp,lamp,0,"['the', 'target', 'has', 'for', 'legs']",5,the target has for legs,test,train,test,train,"[1, 10, 11, 24, 259, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tube,,
27533,27533,user_1880,it has a 4-legged base,33OOO72IVJEVZ0I1F4SM5BSDKU2TCY,102.0,e0a2948797cc33b2e19a0cc107ada7cd,lamp,ShapeNet,9c3c8db3c4b29c8e7bcb070cc655f13a,lamp,ShapeNet,False,lamp/ShapeNet/9c3c8db3c4b29c8e7bcb070cc655f13a,lamp/ShapeNet/e0a2948797cc33b2e19a0cc107ada7cd,True,lamp,lamp,0,"['it', 'has', 'a', 'four', 'legged', 'base']",6,it has a four legged base,test,train,test,train,"[1, 23, 24, 26, 322, 2483, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",unknown,,base
27536,27536,user_607,The target shade doesn't look like a dollop of whip cream.,3YDTZAI2WZ9RVCTDK62UG7XU0UX14F,73.0,761fb0822bb05bc8ee0cd746086d989,lamp,ShapeNet,dd278cc37ecff49ce6597d391ab6fcc1,lamp,ShapeNet,False,lamp/ShapeNet/dd278cc37ecff49ce6597d391ab6fcc1,lamp/ShapeNet/761fb0822bb05bc8ee0cd746086d989,True,lamp,lamp,0,"['the', 'target', 'shade', 'does', 'not', 'look', 'like', 'a', 'dollop', 'of', 'whip', 'cream']",12,the target shade does not look like a dollop of whip cream,train,train,train,train,"[1, 10, 11, 1873, 39, 40, 186, 35, 26, 3, 38, 3, 2051, 2, 0, 0, 0, 0]",shade,,
27537,27537,user_1658,The base of the target is spherically shaped.,3TE22NPXPD58NBQW7OLWE54XCGV44N,182.0,761fb0822bb05bc8ee0cd746086d989,lamp,ShapeNet,dd278cc37ecff49ce6597d391ab6fcc1,lamp,ShapeNet,False,lamp/ShapeNet/dd278cc37ecff49ce6597d391ab6fcc1,lamp/ShapeNet/761fb0822bb05bc8ee0cd746086d989,True,lamp,lamp,0,"['the', 'base', 'of', 'the', 'target', 'is', 'spherically', 'shaped']",8,the base of the target is spherically shaped,train,train,train,train,"[1, 10, 103, 38, 10, 11, 7, 3191, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0]",base,,
27538,27538,user_959,the struts are arms that can be pulled out straight or flattened,3GD6L00D3UQ7Z2IJQA2Q21EUMP91M9,85.0,83c0ad378b5802b73d39d8012919dd25,lamp,ShapeNet,cab6546da3916aa53c8d0fdfb1cc2535,lamp,ShapeNet,False,lamp/ShapeNet/cab6546da3916aa53c8d0fdfb1cc2535,lamp/ShapeNet/83c0ad378b5802b73d39d8012919dd25,True,lamp,lamp,0,"['the', 'struts', 'are', 'arms', 'that', 'can', 'be', 'pulled', 'out', 'straight', 'or', 'flattened']",12,the struts are arms that can be pulled out straight or flattened,train,train,train,train,"[1, 10, 3667, 16, 2232, 172, 1168, 204, 1926, 89, 114, 124, 1691, 2, 0, 0, 0, 0]",tube,,
27542,27542,user_378,The target lamp shade is a barrel and the other is a bell shaped.,3VHP9MDGRPDLGV00KKNXO7DCTIYFCA,274.0,a34db84654a9685f54386f3e4b944407,lamp,ShapeNet,526251a7530426a4b3c42e318f3affc,lamp,ShapeNet,True,lamp/ShapeNet/526251a7530426a4b3c42e318f3affc,lamp/ShapeNet/a34db84654a9685f54386f3e4b944407,True,lamp,lamp,0,"['the', 'target', 'lamp', 'shade', 'is', 'a', 'barrel', 'and', 'the', 'other', 'is', 'a', 'bell', 'shaped']",14,the target lamp shade is a barrel and the other is a bell shaped,train,train,train,train,"[1, 10, 11, 295, 1873, 7, 26, 1704, 47, 10, 396, 7, 26, 337, 14, 2, 0, 0]",shade,,
27543,27543,user_1220,has an elephant-shaped body,3GFK2QRXXBA2SWDGVZAPEPT2W6TW5C,124.0,a34db84654a9685f54386f3e4b944407,lamp,ShapeNet,526251a7530426a4b3c42e318f3affc,lamp,ShapeNet,False,lamp/ShapeNet/526251a7530426a4b3c42e318f3affc,lamp/ShapeNet/a34db84654a9685f54386f3e4b944407,True,lamp,lamp,0,"['has', 'an', 'elephant', 'shaped', 'body']",5,has an elephant shaped body,train,train,train,train,"[1, 24, 72, 1802, 14, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tube,,
27544,27544,user_672,shade is shorter,3QL2OFSM98BX4NDHI86AWCMLV6MNCL,32.0,lamp_0032,lamp,ModelNet,lamp_0107,lamp,ModelNet,False,lamp/ModelNet/lamp_0107,lamp/ModelNet/lamp_0032,True,lamp,lamp,0,"['shade', 'is', 'short', '-er']",4,shade is short -er,train,train,train,train,"[1, 1873, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27546,27546,user_39,target has smaller shades,33TIN5LC063PIOASDQ5UB2JKT4TY99,35.0,d82a17b1f646e95dfcb8d8c6d4df8143,lamp,ShapeNet,3d26aa294ad1cabcfcb8d8c6d4df8143,lamp,ShapeNet,False,lamp/ShapeNet/3d26aa294ad1cabcfcb8d8c6d4df8143,lamp/ShapeNet/d82a17b1f646e95dfcb8d8c6d4df8143,True,lamp,lamp,0,"['target', 'has', 'small', '-er', 'shades']",5,target has small -er shades,train,train,train,train,"[1, 11, 24, 111, 9, 1847, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",shade,,
27548,27548,user_515,The target has a distinctive top shaped like a pointy crown.,39ZSFO5CAAPX7R3WP1ZIXBRATMZJUY,132.0,66fbe6533abfe75195b26656722dea64,lamp,ShapeNet,lamp_0112,lamp,ModelNet,False,lamp/ModelNet/lamp_0112,lamp/ShapeNet/66fbe6533abfe75195b26656722dea64,False,lamp,lamp,0,"['the', 'target', 'has', 'a', 'distinctive', 'top', 'shaped', 'like', 'a', 'pointy', 'crown']",11,the target has a distinctive top shaped like a pointy crown,train,train,train,train,"[1, 10, 11, 24, 26, 2026, 99, 14, 35, 26, 397, 606, 2, 0, 0, 0, 0, 0]",shade,,
