,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
77313,user_1607,the waist of the body dips in on each side,3TPWUS5F8BUNRHMVA9XXSVZCZNRWC7,224.0,f6884341f0d6d2cd69a645978ae8c765,guitar,ShapeNet,33bc720b6836bef4c69ecd2ad81e89bc,guitar,ShapeNet,False,guitar/ShapeNet/33bc720b6836bef4c69ecd2ad81e89bc,guitar/ShapeNet/f6884341f0d6d2cd69a645978ae8c765,True,guitar,guitar,0,"['the', 'waist', 'of', 'the', 'body', 'dips', 'in', 'on', 'each', 'side']",10,the waist of the body dips in on each side,val,train,val,train,"[1, 10, 1830, 38, 10, 45, 1635, 90, 20, 21, 22, 2, 0, 0, 0, 0, 0, 0]",body
77314,user_354,It has visible knobs on its body,336YQZE83X76NKJ2RX425RRB945M5C,87.0,8d9fa6f14ab6bb3293f0194265a9746c,guitar,ShapeNet,25a108bc4c106249480694b9b5582e9e,guitar,ShapeNet,False,guitar/ShapeNet/25a108bc4c106249480694b9b5582e9e,guitar/ShapeNet/8d9fa6f14ab6bb3293f0194265a9746c,False,guitar,guitar,0,"['it', 'has', 'visible', 'knobs', 'on', 'its', 'body']",7,it has visible knobs on its body,train,train,train,train,"[1, 23, 24, 185, 224, 20, 5, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
77315,user_2039,The fret board and body are all one piece.,3TVRFO09GM8VJLLRXRMIXX3626EXL0,251.0,8d9fa6f14ab6bb3293f0194265a9746c,guitar,ShapeNet,25a108bc4c106249480694b9b5582e9e,guitar,ShapeNet,False,guitar/ShapeNet/25a108bc4c106249480694b9b5582e9e,guitar/ShapeNet/8d9fa6f14ab6bb3293f0194265a9746c,False,guitar,guitar,0,"['the', 'fret', 'board', 'and', 'body', 'are', 'all', 'one', 'piece']",9,the fret board and body are all one piece,train,train,train,train,"[1, 10, 3880, 948, 47, 45, 16, 367, 19, 65, 2, 0, 0, 0, 0, 0, 0, 0]",body
77319,user_1032,Its headstock is narrower,3VHHR074H5A146F0FEIK3YQI0GD7LZ,83.0,a3c93f4327a923b3dbea3103e4ab595f,guitar,ShapeNet,da8ee6c488a2f4e093f806b1ecaee483,guitar,ShapeNet,False,guitar/ShapeNet/da8ee6c488a2f4e093f806b1ecaee483,guitar/ShapeNet/a3c93f4327a923b3dbea3103e4ab595f,True,guitar,guitar,0,"['its', 'headstock', 'is', 'narrow', '-er']",5,its headstock is narrow -er,train,train,train,train,"[1, 5, 3882, 7, 210, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
77323,user_1088,The head is thicker snd less pointy,382M9COHEJ8PWBH4B0OR0VEIZ32UEC,145.0,d3684d071dcb6bffd3193ed047bef161,guitar,ShapeNet,408a8e1b51266b9ccc34b900bb2492e,guitar,ShapeNet,False,guitar/ShapeNet/408a8e1b51266b9ccc34b900bb2492e,guitar/ShapeNet/d3684d071dcb6bffd3193ed047bef161,True,guitar,guitar,0,"['the', 'head', 'is', 'thick', '-er', 'snd', 'less', 'pointy']",8,the head is thick -er snd less pointy,train,train,train,train,"[1, 10, 107, 7, 54, 9, 3785, 229, 397, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
77326,user_1088,The body is more ornate with points and large swooping arms,3WSELTNVR5V76LL3VQWVZG2PVSSTAK,105.0,bcfac61cd0459d5437f945ae4b0d3b56,guitar,ShapeNet,5dcc689f1472b2c7dae24eae11385498,guitar,ShapeNet,False,guitar/ShapeNet/5dcc689f1472b2c7dae24eae11385498,guitar/ShapeNet/bcfac61cd0459d5437f945ae4b0d3b56,False,guitar,guitar,0,"['the', 'body', 'is', 'more', 'ornate', 'with', 'points', 'and', 'large', 'swooping', 'arms']",11,the body is more ornate with points and large swooping arms,train,train,train,train,"[1, 10, 45, 7, 34, 191, 121, 298, 47, 94, 3885, 2232, 2, 0, 0, 0, 0, 0]",body
77327,user_1143,The target has a head with two points,3W92K5RLWWAPD7DB5P5TSNAO0Z15V0,42.0,bcfac61cd0459d5437f945ae4b0d3b56,guitar,ShapeNet,5dcc689f1472b2c7dae24eae11385498,guitar,ShapeNet,False,guitar/ShapeNet/5dcc689f1472b2c7dae24eae11385498,guitar/ShapeNet/bcfac61cd0459d5437f945ae4b0d3b56,False,guitar,guitar,0,"['the', 'target', 'has', 'a', 'head', 'with', 'two', 'points']",8,the target has a head with two points,train,train,train,train,"[1, 10, 11, 24, 26, 107, 121, 17, 298, 2, 0, 0, 0, 0, 0, 0, 0, 0]",head
77329,user_1712,the head is squared,3N4BPTXIOALSIB9E7MZUYQRNJHRUKN,61.0,624e93d139be86a7e46203898ce1124a,guitar,ShapeNet,301e0388592cc17bee974d1eb57427bb,guitar,ShapeNet,False,guitar/ShapeNet/301e0388592cc17bee974d1eb57427bb,guitar/ShapeNet/624e93d139be86a7e46203898ce1124a,False,guitar,guitar,0,"['the', 'head', 'is', 'squared']",4,the head is squared,train,train,train,train,"[1, 10, 107, 7, 427, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",head
77331,user_2144,The target guitar's body shape is more round.,3WOKGM4L739VSGID77D3G0KPNYI0OX,113.0,b7e1c7e7ddd1485277df4c4d253ba3a,guitar,ShapeNet,46e8a39b49acb800cc766ee9bece4aca,guitar,ShapeNet,False,guitar/ShapeNet/46e8a39b49acb800cc766ee9bece4aca,guitar/ShapeNet/b7e1c7e7ddd1485277df4c4d253ba3a,False,guitar,guitar,0,"['the', 'target', 'guitar', ""'s"", 'body', 'shape', 'is', 'more', 'round']",9,the target guitar 's body shape is more round,train,train,train,train,"[1, 10, 11, 757, 12, 45, 93, 7, 34, 134, 2, 0, 0, 0, 0, 0, 0, 0]",body
77334,user_1252,The head of the target guitar is curved upwards to the right.,3KV0LJBBH4EVS7H0O4H58SW71UFRMW,134.0,14f88fcb1e613fc4eb792814ca6b5bcc,guitar,ShapeNet,afb2a038358c5f391fb05d58f51ec4fa,guitar,ShapeNet,False,guitar/ShapeNet/afb2a038358c5f391fb05d58f51ec4fa,guitar/ShapeNet/14f88fcb1e613fc4eb792814ca6b5bcc,False,guitar,guitar,0,"['the', 'head', 'of', 'the', 'target', 'guitar', 'is', 'curved', 'upwards', 'to', 'the', 'right']",12,the head of the target guitar is curved upwards to the right,train,train,train,train,"[1, 10, 107, 38, 10, 11, 757, 7, 51, 209, 58, 10, 118, 2, 0, 0, 0, 0]",head
77337,user_361,The tuners are on the left side of the headstock,3JZQSN0I3S3YX7G5M6JGEYYR2C2GFC,74.0,265009e163bf5c6f69da8e7f9a803d12,guitar,ShapeNet,3839f1edddecf07c502e2eeb62a0f66d,guitar,ShapeNet,False,guitar/ShapeNet/3839f1edddecf07c502e2eeb62a0f66d,guitar/ShapeNet/265009e163bf5c6f69da8e7f9a803d12,True,guitar,guitar,0,"['the', 'tuners', 'are', 'on', 'the', 'left', 'side', 'of', 'the', 'headstock']",10,the tuners are on the left side of the headstock,train,train,train,train,"[1, 10, 3887, 16, 20, 10, 187, 22, 38, 10, 3882, 2, 0, 0, 0, 0, 0, 0]",head
77338,user_354,Its tuning pegs on the right side of its headstock,33C7UALJVNRSEDGFW9S7XJDZDMP81C,55.0,a26782a7130d5b76cc5a6997e65650ba,guitar,ShapeNet,238f738a7012b713e909a939d5488b76,guitar,ShapeNet,False,guitar/ShapeNet/238f738a7012b713e909a939d5488b76,guitar/ShapeNet/a26782a7130d5b76cc5a6997e65650ba,True,guitar,guitar,0,"['its', 'tuning', 'pegs', 'on', 'the', 'right', 'side', 'of', 'its', 'headstock']",10,its tuning pegs on the right side of its headstock,train,train,train,train,"[1, 5, 3883, 2023, 20, 10, 118, 22, 38, 5, 3882, 2, 0, 0, 0, 0, 0, 0]",head
