,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
66176,user_1651,It has eliptical wings,30LB5CDZNE37RKWK9GOKWYRT774Z0R,104.0,c271badfb6842c882fd5ed7e39258c7,airplane,ShapeNet,fbebcde2d8fbf81ee7cf320ab5761d45,airplane,ShapeNet,False,airplane/ShapeNet/fbebcde2d8fbf81ee7cf320ab5761d45,airplane/ShapeNet/c271badfb6842c882fd5ed7e39258c7,False,airplane,airplane,0,"['it', 'has', 'elliptical', 'wings']",4,it has elliptical wings,test,train,test,train,"[1, 23, 24, 1328, 762, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",wing
66179,user_947,The target plane has smaller engine.,3EJJQNKU9TY90TGPX71SGNOBKCLRH0,38.0,68b5cf1b10331dfa77c1f99ed297e3ca,airplane,ShapeNet,57e135ae4fc03f2e6d06e36417078f,airplane,ShapeNet,False,airplane/ShapeNet/57e135ae4fc03f2e6d06e36417078f,airplane/ShapeNet/68b5cf1b10331dfa77c1f99ed297e3ca,False,airplane,airplane,0,"['the', 'target', 'plane', 'has', 'small', '-er', 'engine']",7,the target plane has small -er engine,train,train,train,train,"[1, 10, 11, 1576, 24, 111, 9, 3577, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",engine
66180,user_1689,The target has a slender fuselage.,3Y54SXRO1NERLUZ11VDMZHEJ25GTUC,86.0,68b5cf1b10331dfa77c1f99ed297e3ca,airplane,ShapeNet,57e135ae4fc03f2e6d06e36417078f,airplane,ShapeNet,False,airplane/ShapeNet/57e135ae4fc03f2e6d06e36417078f,airplane/ShapeNet/68b5cf1b10331dfa77c1f99ed297e3ca,False,airplane,airplane,0,"['the', 'target', 'has', 'a', 'slender', 'fuselage']",6,the target has a slender fuselage,train,train,train,train,"[1, 10, 11, 24, 26, 116, 3575, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
66183,user_923,The engines are longer,3NC5L260MQFMPKX3APWOJ77TTA0FOT,184.0,5e0331eab3f051988f6810e1a2b6aa04,airplane,ShapeNet,89bc3fa2ecf1425f6c32d954b1c7f41e,airplane,ShapeNet,False,airplane/ShapeNet/89bc3fa2ecf1425f6c32d954b1c7f41e,airplane/ShapeNet/5e0331eab3f051988f6810e1a2b6aa04,True,airplane,airplane,0,"['the', 'engines', 'are', 'long', '-er']",5,the engines are long -er,train,train,train,train,"[1, 10, 3576, 16, 32, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",engine
66184,user_1128,the engines are bigger,3ZGVPD4G6VA87TTB7ICUG9TY4MGTZK,72.0,5e0331eab3f051988f6810e1a2b6aa04,airplane,ShapeNet,89bc3fa2ecf1425f6c32d954b1c7f41e,airplane,ShapeNet,False,airplane/ShapeNet/89bc3fa2ecf1425f6c32d954b1c7f41e,airplane/ShapeNet/5e0331eab3f051988f6810e1a2b6aa04,True,airplane,airplane,0,"['the', 'engines', 'are', 'big', '-er']",5,the engines are big -er,train,train,train,train,"[1, 10, 3576, 16, 320, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",engine
66186,user_1347,There are bulky blocks attached to the ends of the wings,3QBD8R3Z23CCR40EQ805S3A24FNO40,93.0,7662fbb435dc1d0760bb9786c97a649e,airplane,ShapeNet,efc9cda06afcd8c2354ab1decf4fe605,airplane,ShapeNet,False,airplane/ShapeNet/efc9cda06afcd8c2354ab1decf4fe605,airplane/ShapeNet/7662fbb435dc1d0760bb9786c97a649e,True,airplane,airplane,0,"['there', 'are', 'bulky', 'blocks', 'attached', 'to', 'the', 'ends', 'of', 'the', 'wings']",11,there are bulky blocks attached to the ends of the wings,test,train,test,train,"[1, 15, 16, 483, 1543, 115, 58, 10, 247, 38, 10, 762, 2, 0, 0, 0, 0, 0]",wing
66189,user_947,"The target has large, curved, ""C"" shaped wings.",32RIADZISUXRPWS7XPHEC8K31DES47,54.0,f6e6fd724a9eab24ba8e93696257b3fc,airplane,ShapeNet,1adb40469ec3636c3d64e724106730cf,airplane,ShapeNet,False,airplane/ShapeNet/1adb40469ec3636c3d64e724106730cf,airplane/ShapeNet/f6e6fd724a9eab24ba8e93696257b3fc,True,airplane,airplane,0,"['the', 'target', 'has', 'large', 'curved', 'c', 'shaped', 'wings']",8,the target has large curved c shaped wings,train,train,train,train,"[1, 10, 11, 24, 94, 51, 1682, 14, 762, 2, 0, 0, 0, 0, 0, 0, 0, 0]",wing
66190,user_1607,the wingspan has sharp pointed tips that curve inward like a boomerang,37TD41K0AJ2UK05MQ4NWV6WRTJSCSN,171.0,f6e6fd724a9eab24ba8e93696257b3fc,airplane,ShapeNet,1adb40469ec3636c3d64e724106730cf,airplane,ShapeNet,False,airplane/ShapeNet/1adb40469ec3636c3d64e724106730cf,airplane/ShapeNet/f6e6fd724a9eab24ba8e93696257b3fc,True,airplane,airplane,0,"['the', 'wingspan', 'has', 'sharp', 'pointed', 'tips', 'that', 'curve', 'inward', 'like', 'a', 'boomerang']",12,the wingspan has sharp pointed tips that curve inward like a boomerang,train,train,train,train,"[1, 10, 3582, 24, 206, 387, 878, 172, 43, 1476, 35, 26, 955, 2, 0, 0, 0, 0]",wing
66191,user_677,The target has more rear fins.,3ZWFC4W1UW0PMXPJ2HDSD2CY4T8FRI,172.0,e88ce288726375ff87bf26680c510802,airplane,ShapeNet,a287dc5d0e28d3d3325212819caa597d,airplane,ShapeNet,False,airplane/ShapeNet/a287dc5d0e28d3d3325212819caa597d,airplane/ShapeNet/e88ce288726375ff87bf26680c510802,True,airplane,airplane,0,"['the', 'target', 'has', 'more', 'rear', 'fins']",6,the target has more rear fins,val,train,val,train,"[1, 10, 11, 24, 34, 1188, 1725, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",tail
66194,user_947,The target plane has a longer fuselage.,39GHHAVOMHKYQT9HAV80K7TG5Q14JV,52.0,fe4ad5664773074cb536c73c7d134340,airplane,ShapeNet,5739574537212a72b3f2b01de37c0b29,airplane,ShapeNet,False,airplane/ShapeNet/5739574537212a72b3f2b01de37c0b29,airplane/ShapeNet/fe4ad5664773074cb536c73c7d134340,True,airplane,airplane,0,"['the', 'target', 'plane', 'has', 'a', 'long', '-er', 'fuselage']",8,the target plane has a long -er fuselage,train,train,train,train,"[1, 10, 11, 1576, 24, 26, 32, 9, 3575, 2, 0, 0, 0, 0, 0, 0, 0, 0]",body
66196,user_1894,The fuselage is shorter.,339ANSOTR7VN9KEED5AGFN3CP9GIKP,36.0,879ebdd198cf4aa58f6810e1a2b6aa04,airplane,ShapeNet,30d1974a29d95d8be8bfa4901aefcf8d,airplane,ShapeNet,False,airplane/ShapeNet/30d1974a29d95d8be8bfa4901aefcf8d,airplane/ShapeNet/879ebdd198cf4aa58f6810e1a2b6aa04,True,airplane,airplane,0,"['the', 'fuselage', 'is', 'short', '-er']",5,the fuselage is short -er,train,train,train,train,"[1, 10, 3575, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
66197,user_923,The fuselage is shorter,3GDTJDAPVW4PA224PVB5HB12B1TM8F,83.0,ae837be3456bd54f71d03b466c72ce41,airplane,ShapeNet,77dfe229aa38e70b3fdf1b3b0fe86dff,airplane,ShapeNet,False,airplane/ShapeNet/77dfe229aa38e70b3fdf1b3b0fe86dff,airplane/ShapeNet/ae837be3456bd54f71d03b466c72ce41,False,airplane,airplane,0,"['the', 'fuselage', 'is', 'short', '-er']",5,the fuselage is short -er,train,train,train,train,"[1, 10, 3575, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
