,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
11796,user_1886,It has a smaller body,386CSBG1O1FTR3H8O9LOE6PGAPH6QC,48.0,f99e19b8c4a729353deb88581ea8417a,mug,ShapeNet,6d2657c640e97c4dd4c0c1a5a5d9a6b8,mug,ShapeNet,False,mug/ShapeNet/6d2657c640e97c4dd4c0c1a5a5d9a6b8,mug/ShapeNet/f99e19b8c4a729353deb88581ea8417a,True,mug,mug,0,"['it', 'has', 'a', 'small', '-er', 'body']",6,it has a small -er body,train,train,train,train,"[1, 23, 24, 26, 111, 9, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",body
11798,user_1964,there is a C shaped handle,3QRYMNZ7F0AEQ4FS4U10LMMPPNFTNZ,76.0,bf2b5e941b43d030138af902bc222a59,mug,ShapeNet,c34718bd10e378186c6c61abcbd83e5a,mug,ShapeNet,False,mug/ShapeNet/c34718bd10e378186c6c61abcbd83e5a,mug/ShapeNet/bf2b5e941b43d030138af902bc222a59,False,mug,mug,0,"['there', 'is', 'a', 'c', 'shaped', 'handle']",6,there is a c shaped handle,train,train,train,train,"[1, 15, 7, 26, 1682, 14, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11801,user_1886,It has a D shaped handle,3ZPBJO59KRUFZJXKF668BY770PIDHR,54.0,b9f9f5b48ab1153626829c11d9aba173,mug,ShapeNet,187859d3c3a2fd23f54e1b6f41fdd78a,mug,ShapeNet,False,mug/ShapeNet/187859d3c3a2fd23f54e1b6f41fdd78a,mug/ShapeNet/b9f9f5b48ab1153626829c11d9aba173,False,mug,mug,0,"['it', 'has', 'a', 'd', 'shaped', 'handle']",6,it has a d shaped handle,train,train,train,train,"[1, 23, 24, 26, 1683, 14, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11802,user_1964,The handle is D shaped,3ATTHHXXWCHTTKDLCOP55HBEGK9IXR,67.0,b9f9f5b48ab1153626829c11d9aba173,mug,ShapeNet,187859d3c3a2fd23f54e1b6f41fdd78a,mug,ShapeNet,False,mug/ShapeNet/187859d3c3a2fd23f54e1b6f41fdd78a,mug/ShapeNet/b9f9f5b48ab1153626829c11d9aba173,False,mug,mug,0,"['the', 'handle', 'is', 'd', 'shaped']",5,the handle is d shaped,train,train,train,train,"[1, 10, 29, 7, 1683, 14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11804,user_1689,The target has a larger handle.,35GCEFQ6I7H38CVHS363YWP0511Z3U,72.0,6aec84952a5ffcf33f60d03e1cb068dc,mug,ShapeNet,9737c77d3263062b8ca7a0a01bcd55b6,mug,ShapeNet,False,mug/ShapeNet/9737c77d3263062b8ca7a0a01bcd55b6,mug/ShapeNet/6aec84952a5ffcf33f60d03e1cb068dc,False,mug,mug,0,"['the', 'target', 'has', 'a', 'large', '-er', 'handle']",7,the target has a large -er handle,train,train,train,train,"[1, 10, 11, 24, 26, 94, 9, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11805,user_242,Has a squarish handle,3JCG6DTRV5JM1L0S3IZMKB67AR2QQ4,35.0,3d3e993f7baa4d7ef1ff24a8b1564a36,mug,ShapeNet,ea95f7b57ff1573b9469314c979caef4,mug,ShapeNet,False,mug/ShapeNet/ea95f7b57ff1573b9469314c979caef4,mug/ShapeNet/3d3e993f7baa4d7ef1ff24a8b1564a36,True,mug,mug,0,"['has', 'a', 'squarish', 'handle']",4,has a squarish handle,test,train,test,train,"[1, 24, 26, 510, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11806,user_1461,Has a thicker handle,3JRJSWSMQJE5XH4LWGSQDMOIHVU3EU,35.0,3d3e993f7baa4d7ef1ff24a8b1564a36,mug,ShapeNet,ea95f7b57ff1573b9469314c979caef4,mug,ShapeNet,False,mug/ShapeNet/ea95f7b57ff1573b9469314c979caef4,mug/ShapeNet/3d3e993f7baa4d7ef1ff24a8b1564a36,True,mug,mug,0,"['has', 'a', 'thick', '-er', 'handle']",5,has a thick -er handle,test,train,test,train,"[1, 24, 26, 54, 9, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11807,user_242,handle is square,3YZ8UPK3VVFAZDXQF9IWA7EF9X9CUS,35.0,e984fd7e97c2be347eaeab1f0c9120b7,mug,ShapeNet,387b695db51190d3be276203d0b1a33f,mug,ShapeNet,False,mug/ShapeNet/387b695db51190d3be276203d0b1a33f,mug/ShapeNet/e984fd7e97c2be347eaeab1f0c9120b7,False,mug,mug,0,"['handle', 'is', 'square']",3,handle is square,train,train,train,train,"[1, 29, 7, 50, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11808,user_1416,It has a square handle.,34YB12FSQ0H43H8M8TNT9OI0U3XGMD,68.0,e984fd7e97c2be347eaeab1f0c9120b7,mug,ShapeNet,387b695db51190d3be276203d0b1a33f,mug,ShapeNet,False,mug/ShapeNet/387b695db51190d3be276203d0b1a33f,mug/ShapeNet/e984fd7e97c2be347eaeab1f0c9120b7,False,mug,mug,0,"['it', 'has', 'a', 'square', 'handle']",5,it has a square handle,train,train,train,train,"[1, 23, 24, 26, 50, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
11809,user_1461,Has a C Handle,34MAJL3QP6GN5F7S7AGD40CR46Z34N,153.0,8012f52dd0a4d2f718a93a45bf780820,mug,ShapeNet,6dd59cc1130a426571215a0b56898e5e,mug,ShapeNet,True,mug/ShapeNet/6dd59cc1130a426571215a0b56898e5e,mug/ShapeNet/8012f52dd0a4d2f718a93a45bf780820,False,mug,mug,0,"['has', 'a', 'c', 'handle']",4,has a c handle,train,train,train,train,"[1, 24, 26, 1682, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
