,workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded,part_keywords
9180,user_903,The handle is shorter,3EJPLAJKEO925VIZB5415Z1KDJ56ZP,40.0,dfabed4f151870eb4bd26ac3bc3791a7,knife,ShapeNet,820138b6742e713ddaf44b37a13dc4d9,knife,ShapeNet,False,knife/ShapeNet/820138b6742e713ddaf44b37a13dc4d9,knife/ShapeNet/dfabed4f151870eb4bd26ac3bc3791a7,True,knife,knife,0,"['the', 'handle', 'is', 'short', '-er']",5,the handle is short -er,train,train,train,train,"[1, 10, 29, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
9182,user_903,It has a fat blade,3WMOAN2SRDQT3WJH9P1FM4AAKTXNVF,48.0,46723d416c8a27ba104aa0e918fc8fde,knife,ShapeNet,cc38f97557029b2a2b5fd8277662be97,knife,ShapeNet,False,knife/ShapeNet/cc38f97557029b2a2b5fd8277662be97,knife/ShapeNet/46723d416c8a27ba104aa0e918fc8fde,False,knife,knife,0,"['it', 'has', 'a', 'fat', 'blade']",5,it has a fat blade,train,train,train,train,"[1, 23, 24, 26, 866, 572, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",blade
9185,user_803,The knife has a dragon on the handle.,3SITXWYCNX2J6CZF6EXOJU71JEEXBO,112.0,c0ddcd295d84beb696196068f29f233,knife,ShapeNet,891b987aff4eef786600258587aa4835,knife,ShapeNet,False,knife/ShapeNet/891b987aff4eef786600258587aa4835,knife/ShapeNet/c0ddcd295d84beb696196068f29f233,True,knife,knife,0,"['the', 'knife', 'has', 'a', 'dragon', 'on', 'the', 'handle']",8,the knife has a dragon on the handle,train,train,train,train,"[1, 10, 1383, 24, 26, 1385, 20, 10, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0]",handle
9186,user_845,the blade is wavy,3IJXV6UZ1ZC9WOR93PJDGZPQDNLRI3,882.0,c0ddcd295d84beb696196068f29f233,knife,ShapeNet,891b987aff4eef786600258587aa4835,knife,ShapeNet,False,knife/ShapeNet/891b987aff4eef786600258587aa4835,knife/ShapeNet/c0ddcd295d84beb696196068f29f233,True,knife,knife,0,"['the', 'blade', 'is', 'wavy']",4,the blade is wavy,train,train,train,train,"[1, 10, 572, 7, 660, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",blade
9195,user_221,The blade is sharper.,3WS1NTTKE051M35K84UDT6BBO6Z0FU,81.0,8d3142e751030a211395331ebe4786cd,knife,ShapeNet,d1c757548ead4a4d8d03ca4865da5b6,knife,ShapeNet,False,knife/ShapeNet/d1c757548ead4a4d8d03ca4865da5b6,knife/ShapeNet/8d3142e751030a211395331ebe4786cd,True,knife,knife,0,"['the', 'blade', 'is', 'sharp', '-er']",5,the blade is sharp -er,train,train,train,train,"[1, 10, 572, 7, 206, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",blade
9199,user_845,the handle is smaller,34HJIJKLP7P7HO9BRKMJNV4ATC14V0,39.0,db7be6ac02bf5e48e2bb19fbad3e4596,knife,ShapeNet,ae66cb2b08eb34c0e887497dd1ca4081,knife,ShapeNet,False,knife/ShapeNet/ae66cb2b08eb34c0e887497dd1ca4081,knife/ShapeNet/db7be6ac02bf5e48e2bb19fbad3e4596,True,knife,knife,0,"['the', 'handle', 'is', 'small', '-er']",5,the handle is small -er,train,train,train,train,"[1, 10, 29, 7, 111, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
9200,user_1658,The blade of the knife is longer,3AMW0RGHOFVGYCMLNDSGGCLSY9ZPN7,109.0,db7be6ac02bf5e48e2bb19fbad3e4596,knife,ShapeNet,ae66cb2b08eb34c0e887497dd1ca4081,knife,ShapeNet,False,knife/ShapeNet/ae66cb2b08eb34c0e887497dd1ca4081,knife/ShapeNet/db7be6ac02bf5e48e2bb19fbad3e4596,True,knife,knife,0,"['the', 'blade', 'of', 'the', 'knife', 'is', 'long', '-er']",8,the blade of the knife is long -er,train,train,train,train,"[1, 10, 572, 38, 10, 1383, 7, 32, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0]",blade
9201,user_677,The target's blade is shorter,3FQ5JJ512NHFNLP5ALN8KVZT4UMNKN,214.0,ca5e9779bed60ea8c6c26a6a38f12bff,knife,ShapeNet,7cfcd09e09a697f3d870ada59aadeb87,knife,ShapeNet,False,knife/ShapeNet/7cfcd09e09a697f3d870ada59aadeb87,knife/ShapeNet/ca5e9779bed60ea8c6c26a6a38f12bff,True,knife,knife,0,"['the', 'target', ""'s"", 'blade', 'is', 'short', '-er']",7,the target 's blade is short -er,train,train,train,train,"[1, 10, 11, 12, 572, 7, 8, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",blade
9202,user_845,the handle isn't as smooth,3DY46V3X3RB8FDYWZYNGOPGPGKU55Z,75.0,ca5e9779bed60ea8c6c26a6a38f12bff,knife,ShapeNet,7cfcd09e09a697f3d870ada59aadeb87,knife,ShapeNet,False,knife/ShapeNet/7cfcd09e09a697f3d870ada59aadeb87,knife/ShapeNet/ca5e9779bed60ea8c6c26a6a38f12bff,True,knife,knife,0,"['the', 'handle', 'is', 'not', 'as', 'smooth']",6,the handle is not as smooth,train,train,train,train,"[1, 10, 29, 7, 40, 52, 379, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",handle
9205,user_1689,The target has serrated blades.,358UUM7WR1WC74ADKYFGPAZHZ807RG,731.0,5663637633c938d1395331ebe4786cd,knife,ShapeNet,792f252dcb06f042dd56c1edf3f6e336,knife,ShapeNet,False,knife/ShapeNet/792f252dcb06f042dd56c1edf3f6e336,knife/ShapeNet/5663637633c938d1395331ebe4786cd,True,knife,knife,0,"['the', 'target', 'has', 'serrated', 'blades']",5,the target has serrated blades,train,train,train,train,"[1, 10, 11, 24, 824, 774, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",blade
